pos_weight,min_samples_leaf,max_features,threshold_strategy,threshold,fs_accuracy,fs_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_confusion_matrix
0.8,8,0.4,fs_balanced,0.507749474895553,0.6361290322580645,0.6398900476998949,0.8382133995037221,0.8482334869431644,"[[779, 306], [20, 910]]"
0.8,10,0.25,default,0.5,0.6358064516129033,0.6396475058614277,0.8362282878411911,0.8476958525345623,"[[758, 327], [3, 927]]"
0.8,10,0.25,fs_accuracy,0.5151427751697875,0.6369354838709678,0.6398981324278439,0.8491315136476427,0.8594470046082949,"[[787, 298], [6, 924]]"
0.8,10,0.25,fs_balanced,0.4888719049007714,0.635483870967742,0.640051742258873,0.832258064516129,0.8440860215053763,"[[749, 336], [2, 928]]"
0.55,5,0.6,default,0.5,0.6374193548387097,0.6407793677742744,0.8387096774193549,0.8482334869431644,"[[786, 299], [26, 904]]"
0.55,5,0.6,fs_accuracy,0.5037112172207286,0.6387096774193548,0.6418788907753255,0.8411910669975186,0.8505376344086022,"[[791, 294], [26, 904]]"
0.55,5,0.6,fs_balanced,0.4905636727151518,0.6385483870967742,0.6425175842832889,0.8347394540942928,0.8447772657450077,"[[775, 310], [23, 907]]"
0.45,12,0.25,default,0.5,0.632258064516129,0.6326623009135743,0.8669975186104218,0.8748079877112135,"[[839, 246], [22, 908]]"
0.45,12,0.25,fs_accuracy,0.4172391618716167,0.6383870967741936,0.6433664807179238,0.8233250620347394,0.8359447004608295,"[[729, 356], [0, 930]]"
0.45,12,0.25,fs_balanced,0.4172391618716167,0.6383870967741936,0.6433664807179238,0.8233250620347394,0.8359447004608295,"[[729, 356], [0, 930]]"
0.35,6,0.25,default,0.5,0.635,0.6362276659390411,0.8630272952853598,0.8712749615975423,"[[829, 256], [20, 910]]"
0.35,6,0.25,fs_accuracy,0.4733219356840498,0.6414516129032258,0.6440213436817852,0.8491315136476427,0.8591397849462366,"[[791, 294], [10, 920]]"
0.35,6,0.25,fs_balanced,0.44333153905912565,0.6401612903225806,0.6441345298730697,0.8352357320099255,0.8470046082949308,"[[753, 332], [0, 930]]"
0.35,5,sqrt,default,0.5,0.6329032258064516,0.6336486377233406,0.864516129032258,0.8735791090629801,"[[820, 265], [8, 922]]"
0.35,5,sqrt,fs_accuracy,0.47110282224703504,0.6383870967741936,0.6407470288624788,0.8535980148883374,0.8640552995391705,"[[790, 295], [0, 930]]"
0.35,5,sqrt,fs_balanced,0.43856642305859955,0.6379032258064516,0.6418708060473766,0.8372208436724565,0.8488479262672811,"[[757, 328], [0, 930]]"
0.45,4,0.4,default,0.5,0.6383870967741936,0.6414584849219824,0.8342431761786601,0.8445468509984639,"[[771, 314], [20, 910]]"
0.45,4,0.4,fs_accuracy,0.4952221394937353,0.6396774193548387,0.6430430915999676,0.8327543424317618,0.843394777265745,"[[765, 320], [17, 913]]"
0.45,4,0.4,fs_balanced,0.4952221394937353,0.6396774193548387,0.6430430915999676,0.8327543424317618,0.843394777265745,"[[765, 320], [17, 913]]"
1.0,5,sqrt,default,0.5,0.6308064516129033,0.6361144797477565,0.822332506203474,0.8350230414746544,"[[727, 358], [0, 930]]"
1.0,5,sqrt,fs_accuracy,0.5161343584193586,0.6333870967741936,0.6377475947934352,0.8332506203473945,0.8451612903225807,"[[749, 336], [0, 930]]"
1.0,5,sqrt,fs_balanced,0.5161343584193586,0.6333870967741936,0.6377475947934352,0.8332506203473945,0.8451612903225807,"[[749, 336], [0, 930]]"
0.45,5,0.6,default,0.5,0.6385483870967742,0.6412725361791576,0.8441687344913151,0.8533026113671275,"[[797, 288], [26, 904]]"
